0	494
1	519
2	493
3	496
4	520
5	485
6	501
7	487
8	506
9	476
10	534
11	464
12	477
13	535
14	492
15	505
16	457
17	474
18	507
19	456
20	496
21	454
22	518
23	596
24	553
25	475
26	458
27	476
28	538
29	464
30	497
31	477
32	487
33	540
34	630
35	498
36	457
37	475
38	457
39	463
40	463
41	460
42	481
43	636
44	459
45	498
46	463
47	472
48	537
49	480
50	477
51	454
52	480
53	487
54	483
55	511
56	462
57	474
58	520
59	465
60	461
61	463
62	474
63	513
64	461
65	679
66	477
67	455
68	533
69	481
70	532
71	481
72	460
73	463
74	503
75	591
76	484
77	456
78	646
79	504
80	486
81	462
82	481
83	513
84	499
85	548
86	462
87	475
88	537
89	504
90	464
91	471
92	481
93	467
94	489
95	465
96	474
97	174
98	477
99	540
100	460
101	676
102	465
103	460
104	517
105	473
106	556
107	480
108	479
109	604
110	464
111	591
112	534
113	554
114	577
115	545
116	561
117	571
118	563
119	543
120	546
121	550
122	809
123	608
124	595
125	584
126	471
127	576
128	489
129	483
130	468
131	524
132	590
133	490
134	553
135	726
136	557
137	725
138	1001
139	558
140	519
141	582
142	655
143	583
144	632
145	1686
146	1756
147	753
148	605
149	579
150	628
151	875
152	556
153	499
154	495
155	486
156	462
157	465
158	482
159	467
160	482
161	454
162	477
163	463
164	456
165	471
166	457
167	459
168	467
169	535
170	476
171	455
172	460
173	459
174	576
175	453
176	491
177	481
178	557
179	587
180	480
181	477
182	470
183	524
184	530
185	482
186	468
187	455
188	463
189	476
190	472
191	544
192	557
193	475
194	657
195	467
196	467
197	456
198	479
199	546
200	455
201	512
202	541
203	477
204	579
205	474
206	488
207	528
208	456
209	578
210	465
211	546
212	456
213	470
214	528
215	468
216	492
217	539
218	463
219	694
220	474
221	497
222	483
223	451
224	592
225	471
226	622
227	544
228	534
229	587
230	558
231	635
232	556
233	548
234	811
235	1011
236	699
237	591
238	544
239	630
240	1166
241	534
242	582
243	1227
244	463
245	511
246	516
247	535
248	466
249	635
250	474
251	450
252	475
253	476
254	558
255	482
0	204
1	220
2	202
3	204
4	214
5	308
6	324
7	479
8	337
9	783
10	673
11	351
12	618
13	387
14	339
15	376
16	405
17	232
18	650
19	250
20	289
21	308
22	333
23	357
24	341
25	276
26	216
27	294
28	239
29	295
30	205
31	293
32	251
33	355
34	221
35	254
36	501
37	229
38	458
39	240
40	227
41	225
42	240
43	235
44	242
45	236
46	252
47	283
48	250
49	335
50	198
51	216
52	205
53	208
54	202
55	249
56	214
57	198
58	206
59	279
60	218
61	202
62	199
63	276
64	200
65	203
66	549
67	213
68	199
69	238
70	215
71	250
72	291
73	213
74	218
75	215
76	46
77	217
78	201
79	202
80	205
81	198
82	222
83	242
84	202
85	218
86	230
87	243
88	198
89	200
90	215
91	204
92	285
93	198
94	464
95	313
96	240
97	204
98	204
99	235
100	203
101	202
102	221
103	215
104	198
105	338
106	206
107	220
108	374
109	239
110	215
111	214
112	223
